,dien_tich,phong_ngu,so_tang,mat_tien,noi_that,huong_nha,so_do,lat,long,gia,gia_m2,id_duong,ten_duong,do_rong_duong,id_phuong,ten_phuong
4942,35.0,5.0,7.0,,,,Sổ hồng/ Sổ đỏ,21.0150152,105.8504667,24500.0,700.0,5e958eea208d0d6d7648fe24,Đường Triệu Việt Vương,8.0,5e5501cbeb80a7245175e137,Phường Bùi Thị Xuân
4943,231.0,10.5,10.5,,,,Sổ hồng/ Sổ đỏ,21.0161916,105.8576533,285000.0,712.5,5e958eea208d0d6d7648fe47,Phố Lý Thường Kiệt,50.0,5e5501cbeb80a7245175e136,Phường Phạm Đình Hổ
4944,66.0,4.801504451949647,4.776731098605334,,,,Sổ hồng/ Sổ đỏ,21.0091542,105.86867,14900.0,225.75757575757572,5e958eea208d0d6d7648fdf4,Đường Lê Đại Hành,,5e5501cbeb80a7245175e139,Phường Lê Đại Hành
4945,36.0,4.801504451949647,4.776731098605334,,,,Sổ hồng/ Sổ đỏ,20.9959104,105.8576533,5900.0,163.88888888888889,5e958eea208d0d6d7648fdf9,Đường Minh Khai,,5e5501cbeb80a7245175e146,Phường Minh Khai
4946,48.0,4.0,4.0,,,,Sổ hồng/ Sổ đỏ,21.0019569,105.8617213,4850.0,101.04166666666669,5e958eea208d0d6d7648fe18,Đường Thanh Lương,,5e5501cbeb80a7245175e13d,Phường Thanh Lương
4947,45.0,3.0,4.0,,,,Sổ hồng/ Sổ đỏ,20.9959104,105.8576533,11500.0,255.55555555555557,5e958eea208d0d6d7648fdf9,Đường Minh Khai,,5e5501cbeb80a7245175e146,Phường Minh Khai
4948,115.0,10.5,4.0,,,,Sổ hồng/ Sổ đỏ,21.0004215,105.850545,15800.0,137.3913043478261,5e958eea208d0d6d7648fe31,Phố Bạch Mai,,5e5501cbeb80a7245175e143,Phường Bạch Mai
4949,55.0,3.0,3.0,,,,Sổ hồng/ Sổ đỏ,20.9959104,105.8576533,6200.0,112.72727272727272,5e958eea208d0d6d7648fdf9,Đường Minh Khai,,5e5501cbeb80a7245175e146,Phường Minh Khai
4950,20.0,3.0,3.0,,,,Sổ hồng/ Sổ đỏ,21.0081338,105.8462749,6800.0,340.0,5e958eea208d0d6d7648fde1,Đường Đại Cồ Việt,,5e5501cbeb80a7245175e139,Phường Lê Đại Hành
4951,31.0,5.0,5.0,,,,Sổ hồng/ Sổ đỏ,21.0003958,105.8561853,6900.0,222.58064516129036,5e958eea208d0d6d7648fe19,Đường Thanh Nhàn,,5e5501cbeb80a7245175e13e,Phường Thanh Nhàn
4952,25.0,3.0,4.0,,,,Sổ hồng/ Sổ đỏ,21.0017059,105.8460708,8000.0,320.0,5e958eea208d0d6d7648fe44,Phố Lê Thanh Nghị,,5e5501cbeb80a7245175e140,Phường Bách Khoa
4953,37.0,5.0,5.0,,,,Sổ hồng/ Sổ đỏ,20.9965725,105.8427916,8300.0,224.32432432432432,5e958eea208d0d6d7648fe4e,Phố Phố Vọng,,5e5501cbeb80a7245175e141,Phường Đồng Tâm
4954,25.0,4.801504451949647,4.0,,,,Sổ hồng/ Sổ đỏ,21.0028982,105.8538077,7900.0,316.0,5e958eea208d0d6d7648fe19,Đường Thanh Nhàn,,5e5501cbeb80a7245175e13e,Phường Thanh Nhàn
